Speaker,Line
Natasha Romanoff,Mm.
Steve Rogers,And were borrowing. Take your feet off the dash.
Natasha Romanoff,"Alright, I have a question for you, oh, which you do not have to answer. I feel like if you dont answer it though, youre kind of answering it, you know."
Steve Rogers,What.
Natasha Romanoff,Was that your first kiss since 1945.
Steve Rogers,"That bad, huh."
Natasha Romanoff,I didnt say that.
Steve Rogers,"Well, it kind of sounds like thats what youre saying."
Natasha Romanoff,"No, I didnt. I just wondered how much practice youve had."
Steve Rogers,You dont need practice.
Natasha Romanoff,Everybody needs practice.
Steve Rogers,"It was not my first kiss since 1945. Im ninety-five, Im not dead."
Natasha Romanoff,"Nobody special, though."
Steve Rogers,"Believe it or not, its kind of hard to find someone with shared life experience."
Natasha Romanoff,"Well, thats alright, you just make something up."
Steve Rogers,"What, like you."
Natasha Romanoff,"I dont know. The truth is a matter of circumstances, its not all things to all people all the time. And neither am I."
Steve Rogers,Thats a tough way to live.
Natasha Romanoff,"Its a good way not to die, though."
Steve Rogers,"You know, its kind of hard to trust someone when you dont know who that someone really is."
Natasha Romanoff,Yeah. Who do you want me to be.
Steve Rogers,How about a friend.
Natasha Romanoff,"Well, theres a chance you might be in the wrong business, Rogers."
Steve Rogers,This is it.
Natasha Romanoff,The file came from these coordinates.
Steve Rogers,So did I. This camp is where I was trained.
Natasha Romanoff,Changed much.
Steve Rogers,A little.
