Line,Strat Time,End Time
He killed them all.,"00:32:55,182 "," 00:32:57,099"
Are you certain?,"00:32:57,225 "," 00:32:59,393"
"The Aether was said to havebeen destroyed with them,","00:32:59,478 "," 00:33:01,479"
and yet here it is.,"00:33:01,563 "," 00:33:02,813"
The Dark Elves are dead.,"00:33:04,232 "," 00:33:06,400"
Does your book happen to mentionhow to get it out of me?,"00:33:07,069 "," 00:33:10,529"
No.,"00:33:10,614 "," 00:33:11,614"
It does not.,"00:33:12,616 "," 00:33:14,241"
The worlds are nearly aligned.,"00:33:24,086 "," 00:33:26,962"
You will be the last of the Kursed.,"00:33:32,386 "," 00:33:34,136"
